id,start_time,end_time,awake,deep,light,stages,deleted,manually
279,1537136280,1537163700,0,271,186,12L42D8L35D2L17D2L24D6L22D6L34D8L14D5L12D12L21D4L10D6L16D11L14D41L10D63L,0,0
280,1537219320,1537250460,0,242,277,58L16D7L30D16L37D2L17D27L16D4L37D111L15D10L11D2L11D17L19D10L11D6L12D7L10D,0,0
281,1537302360,1537333320,1,226,289,56L13D3L13D32L1A7L20D22L16D9L38D2L37D9L21D11L17D35L17D3L24D2L10D98L,0,0
282,1537393020,1537423200,0,249,254,26L32D2L35D9L37D5L16D8L31D6L14D32L41D17L16D90L12D37L15D22L,0,0
283,1537484640,1537509600,0,178,238,10L29D18L47D20L25D4L15D25L14D28L21D8L14D69L13D56L,0,0
284,1537567500,1537601520,2,363,202,22L1A26L1A14L37D3L11D12L90D10L70D20L41D24L10D9L35D15L15D32L18D7L15D4L12D4L9D,0,0
285,1537653720,1537683120,0,253,237,25L37D6L24D2L14D22L10D3L75D14L14D24L11D44L12D6L10D10L23D47L10D25L13D9L,0,0
286,1537742760,1537768620,0,273,158,24L43D2L86D6L31D16L34D12L22D33L45D54L12D11L,0,1
287,1537827900,1537854780,0,293,155,10L141D3L12D3L12D17L22D2L34D15L11D2L18D43L43D60L,0,0
288,1537912980,1537941540,0,206,270,17L32D23L12D38L39D2L11D2L20D4L11D13L16D23L12D23L43D34L10D91L,0,1
289,1538000100,1538027340,0,243,211,38L10D2L19D12L46D11L17D16L13D14L28D7L12D13L10D23L44D51L11D7L33D17L,0,1
290,1538086320,1538114280,0,224,242,23L38D7L20D11L20D4L17D14L47D7L27D24L11D10L18D9L14D59L12D74L,0,0
